source_id,target_id,type,weight,reason
PRODUCT_智能药盒,REQ_ac72a31afa,HAS_REQUIREMENT,99.71,产品对象包含由用户评论抽取出的需求
PRODUCT_智能药盒,REQ_16a7be2352,HAS_REQUIREMENT,75.2746,产品对象包含由用户评论抽取出的需求
PRODUCT_智能药盒,REQ_ffabf94b91,HAS_REQUIREMENT,27.2703,产品对象包含由用户评论抽取出的需求
PRODUCT_智能药盒,REQ_b514652142,HAS_REQUIREMENT,24.7717,产品对象包含由用户评论抽取出的需求
PRODUCT_智能药盒,REQ_d11d107736,HAS_REQUIREMENT,23.7546,产品对象包含由用户评论抽取出的需求
PRODUCT_智能药盒,REQ_e27d5a403d,HAS_REQUIREMENT,19.1082,产品对象包含由用户评论抽取出的需求
PRODUCT_智能药盒,REQ_40bb73a2b3,HAS_REQUIREMENT,12.8635,产品对象包含由用户评论抽取出的需求
PRODUCT_智能药盒,REQ_3a8b7d578b,HAS_REQUIREMENT,3.6227,产品对象包含由用户评论抽取出的需求
REQ_ac72a31afa,FUNC_21d508d143,SATISFIED_BY,99.71,服药提醒需求可通过多模态服药提醒功能实现。
REQ_40bb73a2b3,FUNC_bb4c744474,SATISFIED_BY,12.8635,药品分装与防错需求可通过分仓分时段药品管理功能实现。
REQ_e27d5a403d,FUNC_dd17b30a36,SATISFIED_BY,19.1082,远程监护需求可通过远程服药记录与家属监护功能实现。
REQ_16a7be2352,FUNC_535fea82b3,SATISFIED_BY,75.2746,老人易用性需求可通过适老化交互与低学习成本操作功能实现。
REQ_d11d107736,FUNC_7489024c5a,SATISFIED_BY,23.7546,便携与场景适应需求可通过便携式药盒携带与模块拆分功能实现。
REQ_3a8b7d578b,FUNC_cee5dca185,SATISFIED_BY,3.6227,安全卫生与防潮需求可通过药品防潮密封与易清洁功能实现。
REQ_ffabf94b91,FUNC_d5e26abb41,SATISFIED_BY,27.2703,续航与可靠性需求可通过低功耗供电与可靠运行功能实现。
REQ_b514652142,FUNC_189a716132,SATISFIED_BY,24.7717,外观与情感体验需求可通过友好外观与家庭场景融合功能实现。
FUNC_21d508d143,STRU_0e33f1590f,REALIZED_BY,1,多模态服药提醒功能依赖蜂鸣器、LED 指示灯、语音提示模块、提醒控制芯片。
FUNC_bb4c744474,STRU_b3fd636e3d,REALIZED_BY,1,分仓分时段药品管理功能依赖多格药仓、日期标识盖板、防错位分隔结构。
FUNC_dd17b30a36,STRU_ae3b29be21,REALIZED_BY,1,远程服药记录与家属监护功能依赖无线通信模块、云端同步接口、服药检测传感器。
FUNC_535fea82b3,STRU_071c962056,REALIZED_BY,1,适老化交互与低学习成本操作功能依赖大字体标识、大按键、扫码配置区、简化交互面板。
FUNC_7489024c5a,STRU_74a2b7722e,REALIZED_BY,1,便携式药盒携带与模块拆分功能依赖轻量化外壳、可拆卸药仓、圆角便携外形。
FUNC_cee5dca185,STRU_002140a4bc,REALIZED_BY,1,药品防潮密封与易清洁功能依赖密封圈、食品级材料、可拆洗内胆、防潮盖体。
FUNC_d5e26abb41,STRU_7dc9f017c4,REALIZED_BY,1,低功耗供电与可靠运行功能依赖低功耗主控、电池仓、充电接口、电量提示模块。
FUNC_189a716132,STRU_23c26ea409,REALIZED_BY,1,友好外观与家庭场景融合功能依赖圆角外壳、柔和配色、清晰状态灯、亲和化表面处理。
TOPIC_0,REQ_ac72a31afa,BELONGS_TO_TOPIC,1,主题关键词命中需求规则
TOPIC_1,REQ_ac72a31afa,BELONGS_TO_TOPIC,1,主题关键词命中需求规则
TOPIC_2,REQ_ac72a31afa,BELONGS_TO_TOPIC,1,主题关键词命中需求规则
TOPIC_3,REQ_ac72a31afa,BELONGS_TO_TOPIC,1,主题关键词命中需求规则
TOPIC_4,REQ_ac72a31afa,BELONGS_TO_TOPIC,1,主题关键词命中需求规则
TOPIC_5,REQ_ac72a31afa,BELONGS_TO_TOPIC,1,主题关键词命中需求规则
TOPIC_0,REQ_40bb73a2b3,BELONGS_TO_TOPIC,1,主题关键词命中需求规则
TOPIC_1,REQ_e27d5a403d,BELONGS_TO_TOPIC,1,主题关键词命中需求规则
TOPIC_2,REQ_e27d5a403d,BELONGS_TO_TOPIC,1,主题关键词命中需求规则
TOPIC_3,REQ_e27d5a403d,BELONGS_TO_TOPIC,1,主题关键词命中需求规则
TOPIC_5,REQ_e27d5a403d,BELONGS_TO_TOPIC,1,主题关键词命中需求规则
TOPIC_0,REQ_16a7be2352,BELONGS_TO_TOPIC,1,主题关键词命中需求规则
TOPIC_1,REQ_16a7be2352,BELONGS_TO_TOPIC,1,主题关键词命中需求规则
TOPIC_2,REQ_16a7be2352,BELONGS_TO_TOPIC,1,主题关键词命中需求规则
TOPIC_3,REQ_16a7be2352,BELONGS_TO_TOPIC,1,主题关键词命中需求规则
TOPIC_4,REQ_16a7be2352,BELONGS_TO_TOPIC,1,主题关键词命中需求规则
TOPIC_5,REQ_16a7be2352,BELONGS_TO_TOPIC,1,主题关键词命中需求规则
TOPIC_2,REQ_d11d107736,BELONGS_TO_TOPIC,1,主题关键词命中需求规则
TOPIC_5,REQ_d11d107736,BELONGS_TO_TOPIC,1,主题关键词命中需求规则
TOPIC_0,REQ_ffabf94b91,BELONGS_TO_TOPIC,1,主题关键词命中需求规则
TOPIC_4,REQ_ffabf94b91,BELONGS_TO_TOPIC,1,主题关键词命中需求规则
TOPIC_2,REQ_b514652142,BELONGS_TO_TOPIC,1,主题关键词命中需求规则
TOPIC_4,REQ_b514652142,BELONGS_TO_TOPIC,1,主题关键词命中需求规则
TOPIC_5,REQ_b514652142,BELONGS_TO_TOPIC,1,主题关键词命中需求规则
KEY_4b027f3979,REQ_ac72a31afa,MENTIONS_KEYWORD,0.067163,关键词支撑该用户需求
KEY_e6af86c791,REQ_16a7be2352,MENTIONS_KEYWORD,0.066778,关键词支撑该用户需求
KEY_e6af86c791,REQ_d11d107736,MENTIONS_KEYWORD,0.066778,关键词支撑该用户需求
KEY_459b2580b1,REQ_ac72a31afa,MENTIONS_KEYWORD,0.034249,关键词支撑该用户需求
KEY_cb736da326,REQ_b514652142,MENTIONS_KEYWORD,0.029541,关键词支撑该用户需求
KEY_cb736da326,REQ_d11d107736,MENTIONS_KEYWORD,0.029541,关键词支撑该用户需求
KEY_3a7170b92e,REQ_ffabf94b91,MENTIONS_KEYWORD,0.02306,关键词支撑该用户需求
KEY_9f9d36327d,REQ_e27d5a403d,MENTIONS_KEYWORD,0.020175,关键词支撑该用户需求
KEY_fe7d74278a,REQ_40bb73a2b3,MENTIONS_KEYWORD,0.020118,关键词支撑该用户需求
KEY_c3097ae1fd,REQ_ffabf94b91,MENTIONS_KEYWORD,0.019256,关键词支撑该用户需求
KEY_18e0ae80a0,REQ_ffabf94b91,MENTIONS_KEYWORD,0.01836,关键词支撑该用户需求
KEY_3d5c04c981,REQ_16a7be2352,MENTIONS_KEYWORD,0.017827,关键词支撑该用户需求
KEY_5b61c3f99f,REQ_16a7be2352,MENTIONS_KEYWORD,0.016129,关键词支撑该用户需求
KEY_5b61c3f99f,REQ_d11d107736,MENTIONS_KEYWORD,0.016129,关键词支撑该用户需求
KEY_e0fedda64b,REQ_ac72a31afa,MENTIONS_KEYWORD,0.014561,关键词支撑该用户需求
KEY_997c7a5d34,REQ_ac72a31afa,MENTIONS_KEYWORD,0.014216,关键词支撑该用户需求
KEY_745e25a85e,REQ_ffabf94b91,MENTIONS_KEYWORD,0.013739,关键词支撑该用户需求
KEY_afcde2611b,REQ_b514652142,MENTIONS_KEYWORD,0.013361,关键词支撑该用户需求
KEY_18f6f897be,REQ_16a7be2352,MENTIONS_KEYWORD,0.013257,关键词支撑该用户需求
KEY_d517acb68f,REQ_16a7be2352,MENTIONS_KEYWORD,0.01252,关键词支撑该用户需求
KEY_0155703c7c,REQ_16a7be2352,MENTIONS_KEYWORD,0.012035,关键词支撑该用户需求
KEY_5531978668,REQ_b514652142,MENTIONS_KEYWORD,0.011236,关键词支撑该用户需求
KEY_27ff5f8ba6,REQ_ac72a31afa,MENTIONS_KEYWORD,0.010203,关键词支撑该用户需求
KEY_96658cef60,REQ_ac72a31afa,MENTIONS_KEYWORD,0.01014,关键词支撑该用户需求
KEY_ae2da6cddb,REQ_16a7be2352,MENTIONS_KEYWORD,0.009847,关键词支撑该用户需求
KEY_ae2da6cddb,REQ_d11d107736,MENTIONS_KEYWORD,0.009847,关键词支撑该用户需求
KEY_2b6bc0f293,REQ_16a7be2352,MENTIONS_KEYWORD,0.00858,关键词支撑该用户需求
KEY_a9298a8ff8,REQ_ffabf94b91,MENTIONS_KEYWORD,0.008511,关键词支撑该用户需求
KEY_381cb8f0d9,REQ_ac72a31afa,MENTIONS_KEYWORD,0.008308,关键词支撑该用户需求
KEY_5980c119a8,REQ_16a7be2352,MENTIONS_KEYWORD,0.008237,关键词支撑该用户需求
KEY_e3623348d2,REQ_3a8b7d578b,MENTIONS_KEYWORD,0.008227,关键词支撑该用户需求
KEY_e88213375d,REQ_ffabf94b91,MENTIONS_KEYWORD,0.007948,关键词支撑该用户需求
KEY_bd6ea20ca1,REQ_b514652142,MENTIONS_KEYWORD,0.007579,关键词支撑该用户需求
